Ativo,Ano Fundacao,Ano IPO,Valor Mercado,Setor,Segmento,Idade,Tempo em Bolsa,Peso Participacao
VALE3,1943,1970,223954633000,Materiais Básicos,Minerais Metálicos,82,55,11.595
ITUB4,1943,2002,313335024000,Financeiro,Bancos,82,23,7.925
PETR4,1953,1977,426601191000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",72,48,7.884
PETR3,1953,1977,426601191000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",72,48,4.409
ELET3,1962,1971,98986984000,Utilidade Pública,Energia Elétrica,63,54,3.862
BBAS3,1808,1977,156394460000,Financeiro,Bancos,217,48,3.837
SBSP3,1973,1994,68897794000,Utilidade Pública,Água e Saneamento,52,31,3.338
B3SA3,2007,2008,63490050000,Financeiro,Serviços Financeiros Diversos,18,17,3.135
BBDC4,1943,1977,119553442000,Financeiro,Bancos,82,48,3.064
ABEV3,2005,2013,208473806000,Consumo não Cíclico,Cervejas e Refrigerantes,20,12,2.841
WEGE3,1961,1982,185983160000,Bens Industriais,"Motores, Compressores e Outros",64,43,2.695
ITSA4,1977,1977,101481214000,Financeiro,Holdings Diversificadas,48,48,2.65
EMBR3,1969,2006,44561186000,Bens Industriais,Material Aeronáutico e de Defesa,56,19,2.313
JBSS3,1998,2007,87770864000,Consumo não Cíclico,Carnes e Derivados,27,18,2.256
BPAC11,1979,2011,165751482000,Financeiro,Bancos,46,14,2.077
EQTL3,1999,2006,40450120000,Utilidade Pública,Energia Elétrica,26,19,1.921
SUZB3,1987,1992,64267739000,Materiais Básicos,Papel e Celulose,38,33,1.599
RENT3,1973,2005,38173206000,Consumo Cíclico,Aluguel de carros,52,20,1.554
RDOR3,1977,2020,65427982000,Saúde,"Serviços Médicos, Hospitalares, Análises e Diagnósticos",48,5,1.546
PRIO3,2008,2010,29509342000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",17,15,1.486
BBSE3,2012,2013,81120000000,Financeiro,Seguradoras,13,12,1.23
RADL3,1935,1977,33449600000,Saúde,Medicamentos e Outros Produtos,90,48,1.174
ENEV3,2001,2007,18762819000,Utilidade Pública,Energia Elétrica,24,18,1.093
GGBR4,1961,1980,28883237000,Materiais Básicos,Siderurgia,64,45,0.963
RAIL3,1997,1998,30902116000,Bens Industriais,Transporte Ferroviário,28,27,0.945
CMIG4,1952,1971,32224689000,Utilidade Pública,Energia Elétrica,73,54,0.913
VIVT3,1998,1998,82860780000,Telecomunicações,Telecomunicações,27,27,0.912
UGPA3,1953,1999,18437632000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",72,26,0.893
